Run_ID,Livetime_sec,Gate_Event_Count,Gate_Event_Rate_Hz,Cathode_Event_Count,Cathode_Event_Rate_Hz,S1_Only_Heavy_Count,S1_Only_Heavy_Rate_Hz,S2_Only_SE_Count,S2_Only_SE_Rate_Hz,Wall_Event_Count,Wall_Event_Rate_Hz
057044,10803.692,9351,0.8655374477539716,5218,0.4829830395016815,387,0.035821087828123946,433,0.0400788915492963,265,0.024528651871971178
056995,91.282,104,1.139326482767687,63,0.690168927061195,4,0.04382024933721873,5,0.05477531167152341,4,0.04382024933721873
055022,3082.036,2022,0.6560598253881524,1226,0.3977889940286226,307,0.0996094789288639,598,0.1940275843630639,3808,1.2355468917300123
056466,3064.043,2049,0.6687242966237745,1786,0.5828899920790929,338,0.11031176781787984,2224,0.7258383775945703,4159,1.3573569300430834
057418,10803.485,7229,0.6691359315998494,4771,0.4416167560745444,297,0.02749112901994125,320,0.02962007167131717,164,0.01518028673155005
058139,3501.099,2309,0.6595072004533433,1450,0.41415566940552095,371,0.10596672644789536,689,0.19679534911751995,4162,1.18876958349364
056946,8359.33,31831,3.807841059032243,11036,1.320201499402464,1729,0.20683475828804462,2052,0.24547421862756943,1655,0.19798237418549094
057360,10803.56,7172,0.6638552477146422,4636,0.4291178093147074,253,0.023418206591160694,298,0.027583500253620104,164,0.015180181347629856
057385,10801.27,7102,0.6575152736668929,4573,0.4233761400279782,328,0.030366799459693165,363,0.03360715915813603,167,0.01546114484685597
063003,1223.533,814,0.6652865104578299,500,0.4086526477013698,126,0.10298046722074518,255,0.20841285032769857,1463,1.195717647174208
057421,10804.09,7155,0.6622492037737561,4687,0.43381719330364704,277,0.025638438776426336,301,0.027859819753445224,127,0.011754807670058284
057000,79.385,79,0.9951502172954588,37,0.4660830131636959,1,0.012596838193613402,4,0.05038735277445361,2,0.025193676387226804
056497,1872.033,1304,0.6965689173214361,864,0.46153032558720924,17,0.009081036498822404,21,0.011217750969133557,34,0.01816207299764481
057047,10803.352,8958,0.8291870893404195,5115,0.4734641618638363,364,0.03369324631836489,400,0.037025545404796585,253,0.02341865746853384
055061,8701.1,6100,0.7010607854179356,3509,0.4032823436117272,904,0.10389490983898587,1728,0.19859557986921192,11051,1.2700693015825584
059354,1131.519,762,0.6734310250203488,676,0.5974269985744827,125,0.11047096867131705,222,0.19619644036025907,1641,1.4502628767170502
064552,1443.157,911,0.6312549500851259,601,0.4164481064776736,156,0.10809634710568566,379,0.2626186894426594,1726,1.1959890711821375
062651,1295.071,787,0.6076886904270113,506,0.39071216944862486,135,0.10424138908214299,245,0.1891788172231484,1539,1.1883518355364302
064097,1179.084,750,0.6360869963463163,479,0.406247561666514,139,0.11788812332285062,242,0.20524407082107804,1473,1.249274860824165
062280,1437.31,889,0.6185165343593241,567,0.3944869234890177,145,0.10088289930495162,272,0.18924240421342647,1639,1.140324634212522
056957,10800.491,20962,1.9408376896939223,8608,0.797000803019048,1008,0.09332909031635692,1202,0.1112912366669256,970,0.08981073175284346
058200,2198.969,1529,0.6953258549802203,938,0.42656353954967074,247,0.11232536702427365,466,0.21191749406198995,2645,1.2028364201587198
057363,10803.473,7276,0.6734871277042114,4637,0.4292138278125932,290,0.02684321976830969,328,0.030360607186226133,178,0.016476183168134914
057389,10802.747,7128,0.6598321704655307,4541,0.4203560446245756,305,0.028233559482601974,333,0.030825492812152317,160,0.014811047597430543
057424,10803.244,7140,0.6609125925509041,4663,0.4316296105132865,288,0.026658659195330586,317,0.02934303807263818,163,0.01508806058624613
055272,71.034,37,0.5208773263507616,31,0.4364107328884759,7,0.09854435903933327,16,0.22524424923276176,86,1.2106878396260945
057050,9575.233,7561,0.7896413591188851,4428,0.46244305491051757,327,0.034150605003554484,381,0.039790154453682745,213,0.022244889497728147
057002,135.711,142,1.0463411219429521,66,0.4863275637199637,5,0.036842997251512404,7,0.05158019615211736,7,0.05158019615211736
056532,1886.437,1279,0.6779977279919764,980,0.5194978682033908,230,0.12192296906814275,454,0.24066533894320352,2475,1.3119971671463189
056960,10803.489,18460,1.7087072518887185,7890,0.7303196217444198,901,0.08339898342100409,1051,0.09728338687622119,706,0.06534925892922185
063024,1187.204,766,0.6452134595233844,505,0.42536918676150015,120,0.10107782655718815,253,0.21310575099140502,1486,1.2516804188665134
062663,1275.056,820,0.643109008545507,492,0.3858654051273042,142,0.11136765757739267,256,0.20077549535079242,1490,1.168576125283909
062292,1391.366,905,0.650439927380718,608,0.43698063629555417,206,0.14805593927119104,330,0.23717699009462642,1707,1.2268518851258403
064572,2567.895,1667,0.6491698453402495,1035,0.4030538631836582,257,0.10008197375671513,452,0.17601965812465073,2979,1.1600941627286163
059399,1187.639,834,0.7022335911838531,622,0.523728169923689,116,0.09767277767065582,209,0.17597940114799196,1598,1.3455267130836897
064118,1623.104,1122,0.6912680887977604,637,0.39245790781120615,198,0.12198848625842829,356,0.21933283387879027,1936,1.19277631008241
058537,3603.573,2227,0.6179977483458778,1422,0.3946083512114227,388,0.1076709143952405,736,0.20424173452293046,4279,1.187432584271222
055464,202.855,125,0.6162036922925243,90,0.4436666584506175,22,0.10845184984348427,38,0.18732592245692736,243,1.1978999778166672
057023,111.293,116,1.0422937651065205,52,0.4672351360822334,4,0.03594116431401795,5,0.044926455392522435,5,0.044926455392522435
056569,799.663,582,0.7278065885254164,408,0.5102149280384362,85,0.1062947766746742,334,0.4176759459922492,1046,1.3080510164906967
057075,1208.308,936,0.7746369303190909,550,0.4551819569182692,33,0.027310917415096152,38,0.031448935205262235,30,0.0248281067409965
056963,10803.426,16331,1.5116501006254868,7212,0.667566011004287,850,0.07867874505735496,987,0.09135990749601099,640,0.059240466866714324
063090,88.652,50,0.5640030681766909,32,0.36096196363308214,12,0.1353607363624058,23,0.2594414113612778,109,1.229526688625186
062679,1086.802,682,0.6275292095524301,433,0.3984166389093874,22,0.020242877727497742,29,0.026683793368065208,14,0.012881831281134928
062305,1235.669,814,0.6587524652637559,472,0.3819793164674358,122,0.0987319419682779,230,0.1861339889565895,1424,1.1524121751051455
